,id,freq,roi,deg
368,GenZ_118_9a,delta,0,0.0
369,GenZ_118_9a,delta,2,0.0
370,GenZ_118_9a,delta,3,0.0
371,GenZ_118_9a,delta,35,0.0
372,GenZ_118_9a,theta,0,0.0
373,GenZ_118_9a,theta,2,0.0
374,GenZ_118_9a,theta,3,0.0
375,GenZ_118_9a,theta,35,0.0
376,GenZ_118_9a,alpha,0,0.0
377,GenZ_118_9a,alpha,2,0.0
378,GenZ_118_9a,alpha,3,0.0
379,GenZ_118_9a,alpha,35,0.0
380,GenZ_118_9a,beta,0,0.0
381,GenZ_118_9a,beta,2,0.0
382,GenZ_118_9a,beta,3,0.0
383,GenZ_118_9a,beta,35,0.0
384,GenZ_118_9a,gamma,0,0.0
385,GenZ_118_9a,gamma,2,0.0
386,GenZ_118_9a,gamma,3,0.0
387,GenZ_118_9a,gamma,35,0.0
388,GenZ_118_9a,gamma2,0,0.0
389,GenZ_118_9a,gamma2,2,0.0
390,GenZ_118_9a,gamma2,3,0.0
391,GenZ_118_9a,gamma2,35,0.0
392,GenZ_119_9a,DC,0,0.0
393,GenZ_119_9a,DC,2,0.0
394,GenZ_119_9a,DC,3,0.0
395,GenZ_119_9a,DC,35,0.0
396,GenZ_119_9a,delta,0,0.0
397,GenZ_119_9a,delta,2,0.0
398,GenZ_119_9a,delta,3,0.0
399,GenZ_119_9a,delta,35,0.0
400,GenZ_119_9a,theta,0,0.0
401,GenZ_119_9a,theta,2,0.0
402,GenZ_119_9a,theta,3,0.0
403,GenZ_119_9a,theta,35,0.0
404,GenZ_119_9a,alpha,0,0.0
405,GenZ_119_9a,alpha,2,0.0
406,GenZ_119_9a,alpha,3,0.0
407,GenZ_119_9a,alpha,35,0.0
408,GenZ_119_9a,beta,0,0.0
409,GenZ_119_9a,beta,2,0.0
410,GenZ_119_9a,beta,3,0.0
411,GenZ_119_9a,beta,35,0.0
412,GenZ_119_9a,gamma,0,0.0
413,GenZ_119_9a,gamma,2,0.0
414,GenZ_119_9a,gamma,3,0.0
415,GenZ_119_9a,gamma,35,0.0
416,GenZ_119_9a,gamma2,0,0.0
417,GenZ_119_9a,gamma2,2,0.0
418,GenZ_119_9a,gamma2,3,0.0
419,GenZ_119_9a,gamma2,35,0.0
420,GenZ_120_9a,DC,0,0.0
421,GenZ_120_9a,DC,2,0.0
422,GenZ_120_9a,DC,3,0.0
423,GenZ_120_9a,DC,35,0.0
424,GenZ_120_9a,delta,0,0.0
425,GenZ_120_9a,delta,2,0.0
426,GenZ_120_9a,delta,3,0.0
427,GenZ_120_9a,delta,35,0.0
428,GenZ_120_9a,theta,0,0.0
429,GenZ_120_9a,theta,2,0.0
430,GenZ_120_9a,theta,3,0.0
431,GenZ_120_9a,theta,35,0.0
432,GenZ_120_9a,alpha,0,0.0
433,GenZ_120_9a,alpha,2,0.0
434,GenZ_120_9a,alpha,3,0.0
435,GenZ_120_9a,alpha,35,0.0
436,GenZ_120_9a,beta,0,0.0
437,GenZ_120_9a,beta,2,0.0
438,GenZ_120_9a,beta,3,0.0
439,GenZ_120_9a,beta,35,0.0
440,GenZ_120_9a,gamma,0,0.0
441,GenZ_120_9a,gamma,2,0.0
442,GenZ_120_9a,gamma,3,0.0
443,GenZ_120_9a,gamma,35,0.0
444,GenZ_120_9a,gamma2,0,0.0
445,GenZ_120_9a,gamma2,2,0.0
446,GenZ_120_9a,gamma2,3,0.0
447,GenZ_120_9a,gamma2,35,0.0
448,GenZ_121_9a,DC,0,0.0
449,GenZ_121_9a,DC,2,0.0
450,GenZ_121_9a,DC,3,0.0
451,GenZ_121_9a,DC,35,0.0
452,GenZ_121_9a,delta,0,0.0
453,GenZ_121_9a,delta,2,0.0
454,GenZ_121_9a,delta,3,0.0
455,GenZ_121_9a,delta,35,0.0
456,GenZ_121_9a,theta,0,0.0
457,GenZ_121_9a,theta,2,0.0
458,GenZ_121_9a,theta,3,0.0
459,GenZ_121_9a,theta,35,0.0
460,GenZ_121_9a,alpha,0,0.0
461,GenZ_121_9a,alpha,2,0.0
462,GenZ_121_9a,alpha,3,0.0
463,GenZ_121_9a,alpha,35,0.0
464,GenZ_121_9a,beta,0,0.0
465,GenZ_121_9a,beta,2,0.0
466,GenZ_121_9a,beta,3,0.0
467,GenZ_121_9a,beta,35,0.0
468,GenZ_121_9a,gamma,0,0.0
469,GenZ_121_9a,gamma,2,0.0
470,GenZ_121_9a,gamma,3,0.0
471,GenZ_121_9a,gamma,35,0.0
472,GenZ_121_9a,gamma2,0,0.0
473,GenZ_121_9a,gamma2,2,0.0
474,GenZ_121_9a,gamma2,3,0.0
475,GenZ_121_9a,gamma2,35,0.0
476,GenZ_122_9a,DC,0,0.0
477,GenZ_122_9a,DC,2,0.0
478,GenZ_122_9a,DC,3,0.0
479,GenZ_122_9a,DC,35,0.0
480,GenZ_122_9a,delta,0,0.0
481,GenZ_122_9a,delta,2,0.0
482,GenZ_122_9a,delta,3,0.0
483,GenZ_122_9a,delta,35,0.0
484,GenZ_122_9a,theta,0,0.0
485,GenZ_122_9a,theta,2,0.0
486,GenZ_122_9a,theta,3,0.0
487,GenZ_122_9a,theta,35,0.0
488,GenZ_122_9a,alpha,0,0.0
489,GenZ_122_9a,alpha,2,0.0
490,GenZ_122_9a,alpha,3,0.0
491,GenZ_122_9a,alpha,35,0.0
492,GenZ_122_9a,beta,0,0.0
493,GenZ_122_9a,beta,2,0.0
494,GenZ_122_9a,beta,3,0.0
495,GenZ_122_9a,beta,35,0.0
496,GenZ_122_9a,gamma,0,0.0
497,GenZ_122_9a,gamma,2,0.0
498,GenZ_122_9a,gamma,3,0.0
499,GenZ_122_9a,gamma,35,0.0
500,GenZ_122_9a,gamma2,0,0.0
501,GenZ_122_9a,gamma2,2,0.0
502,GenZ_122_9a,gamma2,3,0.0
503,GenZ_122_9a,gamma2,35,0.0
504,GenZ_123_9a,DC,0,0.0
505,GenZ_123_9a,DC,2,0.0
506,GenZ_123_9a,DC,3,0.0
507,GenZ_123_9a,DC,35,0.0
508,GenZ_123_9a,delta,0,0.0
509,GenZ_123_9a,delta,2,0.0
510,GenZ_123_9a,delta,3,0.0
511,GenZ_123_9a,delta,35,0.0
512,GenZ_123_9a,theta,0,0.0
513,GenZ_123_9a,theta,2,0.0
514,GenZ_123_9a,theta,3,0.0
515,GenZ_123_9a,theta,35,0.0
516,GenZ_123_9a,alpha,0,0.0
517,GenZ_123_9a,alpha,2,0.0
518,GenZ_123_9a,alpha,3,0.0
519,GenZ_123_9a,alpha,35,0.0
520,GenZ_123_9a,beta,0,0.0
521,GenZ_123_9a,beta,2,0.0
522,GenZ_123_9a,beta,3,0.0
523,GenZ_123_9a,beta,35,0.0
524,GenZ_123_9a,gamma,0,0.0
525,GenZ_123_9a,gamma,2,0.0
526,GenZ_123_9a,gamma,3,0.0
527,GenZ_123_9a,gamma,35,0.0
528,GenZ_123_9a,gamma2,0,0.0
529,GenZ_123_9a,gamma2,2,0.0
530,GenZ_123_9a,gamma2,3,0.0
